,date,title,url,views,views_expand
114,6 months ago,MUSEVENI AYAGALA KUSISINKANA KABAKA WA BUGANDA KU NSONGA ZA KYAGULANYI SENTAMU ROBERT,https://www.youtube.com//watch?v=8UmB7oPmmGA,20K views,20000.0
115,6 months ago,OLUKWE LWOKUTTA BOBI WINE MUSEVENI ALUKWASIZA MUHOOZI NE SFC,https://www.youtube.com//watch?v=v_fx5D0aWnQ,16K views,16000.0
116,6 months ago,BREAKING NEWS MUSEVENI IS PLANNING TO FINISH BOBI WINE TODAY AT 7PM UGANDAN TIME,https://www.youtube.com//watch?v=bfkrVl3z64Y,15K views,15000.0
117,6 months ago,OPEN ROOF GOES DIRECTLY TO MUHOOZI AND YOUR FATHER YOSERI TIBAHABURWA TUBAKOYE,https://www.youtube.com//watch?v=i_t77_SOzN8,9.1K views,9100.0
118,6 months ago,KYAGULANYI SENTAMU ROBERT IS CURRENTLY UNDER HOUSE ARREST NO ONE ALLOWED TO VISIT HIM,https://www.youtube.com//watch?v=v0HrSJKNsOo,3.8K views,3800.0
119,6 months ago,MISSION 2021 ETANDIKA BUTANDISI MUSEVENI ALIMUKUTYA,https://www.youtube.com//watch?v=R7hj5Jl-PVo,6.6K views,6600.0
120,6 months ago,MUSEVENI IS READY TO USE MILITARY TO TAKE OUR POWER AGAIN,https://www.youtube.com//watch?v=PpeF-gz8qVc,3.4K views,3400.0
121,6 months ago,MUSEVENI DEPLOYED ARMY COUNTRYWIDE AS HE PLANS TO ARREST KYAGULANYI SENTAMU BEFORE ELECTIONS,https://www.youtube.com//watch?v=O-iuFaifTQI,10K views,10000.0
122,6 months ago,OPEN ROOF GOES DIRECTLY TO FIRST FAMILY AND NRM BLOGGERS,https://www.youtube.com//watch?v=zFBt8kSGnmA,13K views,13000.0
123,7 months ago,BA GENERAL MU MAGYE BAWUKANYIZA ENDOWOZA NE MUSEVENI MUBINAVA MUKULONDA,https://www.youtube.com//watch?v=xxqirBRH_Ow,13K views,13000.0
124,7 months ago,MUSEVENI WAS PLANING TO KIDNAP BOBI WINE'S FAMILY BEFORE ELECTIONS TO WEAKEN HIM & ABANDON THE RACE,https://www.youtube.com//watch?v=1kU54LA3fac,14K views,14000.0
125,7 months ago,BOXERS AND BODYBUILDERS ALL DEPLOYED BY STATE HOUSES TO ATTACK BOBI WINE ON ELECTION DAY,https://www.youtube.com//watch?v=mm0tnVjbq3E,10K views,10000.0
126,7 months ago,AMAGYE NE MILITARY GAWAMBYE OBUYINZA BWA COURT ZAMATEKA KUBIRAGIRO BYA MUHOOZI,https://www.youtube.com//watch?v=vy0tD-A-1h0,11K views,11000.0
127,7 months ago,MUSEVENI DEPLOYED CHARLES PETER MAYIGA IN BUGANDA TO BLOCK ANY POWERFUL MUGANDA AS HE DOES TO BOBI,https://www.youtube.com//watch?v=1ytxNzVvehg,9.8K views,9800.0
